CONTROL,ESPERADO,OBSERVADO,ESTADO,DETALLE
rotacion_identidad_siguiente_2025-2026,202,202,OK,PERMANECEN + NUEVOS = DOTACION_SIGUIENTE.
suma_formacion_2022,71,71,OK,Suma de personas por FORMACION.
porcentaje_formacion_2022,100,100,OK,Suma porcentual por FORMACION.
suma_cargo_2022,71,71,OK,Suma de personas por CARGO.
porcentaje_cargo_2022,100,100,OK,Suma porcentual por CARGO.
suma_tipo_contractual_2022,71,71,OK,Suma de personas por TIPO_CONTRACTUAL.
porcentaje_tipo_contractual_2022,100,100,OK,Suma porcentual por TIPO_CONTRACTUAL.
suma_tramo_edad_2022,71,71,OK,Suma de personas por TRAMO_EDAD.
porcentaje_tramo_edad_2022,100,100,OK,Suma porcentual por TRAMO_EDAD.
suma_tramo_horas_2022,71,71,OK,Suma de personas por TRAMO_HORAS.
porcentaje_tramo_horas_2022,100,100,OK,Suma porcentual por TRAMO_HORAS.
suma_programa_2022,71,71,OK,Suma de personas por PROGRAMA.
porcentaje_programa_2022,100,100,OK,Suma porcentual por PROGRAMA.
suma_genero_2022,71,71,OK,Hombres + mujeres + sin información = universo.
horas_componentes_2022,1051,1051,OK,Horas totales igualan suma de componentes.
suma_formacion_2023,70,70,OK,Suma de personas por FORMACION.
porcentaje_formacion_2023,100,100,OK,Suma porcentual por FORMACION.
suma_cargo_2023,70,70,OK,Suma de personas por CARGO.
porcentaje_cargo_2023,100,100,OK,Suma porcentual por CARGO.
suma_tipo_contractual_2023,70,70,OK,Suma de personas por TIPO_CONTRACTUAL.
porcentaje_tipo_contractual_2023,100,100,OK,Suma porcentual por TIPO_CONTRACTUAL.
suma_tramo_edad_2023,70,70,OK,Suma de personas por TRAMO_EDAD.
porcentaje_tramo_edad_2023,100,100,OK,Suma porcentual por TRAMO_EDAD.
suma_tramo_horas_2023,70,70,OK,Suma de personas por TRAMO_HORAS.
porcentaje_tramo_horas_2023,100,100,OK,Suma porcentual por TRAMO_HORAS.
suma_programa_2023,70,70,OK,Suma de personas por PROGRAMA.
porcentaje_programa_2023,100,100,OK,Suma porcentual por PROGRAMA.
suma_genero_2023,70,70,OK,Hombres + mujeres + sin información = universo.
horas_componentes_2023,1202,1202,OK,Horas totales igualan suma de componentes.
suma_formacion_2024,85,85,OK,Suma de personas por FORMACION.
porcentaje_formacion_2024,100,100,OK,Suma porcentual por FORMACION.
suma_cargo_2024,85,85,OK,Suma de personas por CARGO.
porcentaje_cargo_2024,100,100,OK,Suma porcentual por CARGO.
suma_tipo_contractual_2024,85,85,OK,Suma de personas por TIPO_CONTRACTUAL.
porcentaje_tipo_contractual_2024,100,100,OK,Suma porcentual por TIPO_CONTRACTUAL.
suma_tramo_edad_2024,85,85,OK,Suma de personas por TRAMO_EDAD.
porcentaje_tramo_edad_2024,100,100,OK,Suma porcentual por TRAMO_EDAD.
suma_tramo_horas_2024,85,85,OK,Suma de personas por TRAMO_HORAS.
porcentaje_tramo_horas_2024,100,100,OK,Suma porcentual por TRAMO_HORAS.
suma_programa_2024,85,85,OK,Suma de personas por PROGRAMA.
porcentaje_programa_2024,100,100,OK,Suma porcentual por PROGRAMA.
suma_genero_2024,85,85,OK,Hombres + mujeres + sin información = universo.
horas_componentes_2024,1703.05,1703.05,OK,Horas totales igualan suma de componentes.
suma_formacion_2025,124,124,OK,Suma de personas por FORMACION.
porcentaje_formacion_2025,100,100,OK,Suma porcentual por FORMACION.
suma_cargo_2025,124,124,OK,Suma de personas por CARGO.
porcentaje_cargo_2025,100,100,OK,Suma porcentual por CARGO.
suma_tipo_contractual_2025,124,124,OK,Suma de personas por TIPO_CONTRACTUAL.
porcentaje_tipo_contractual_2025,100,100,OK,Suma porcentual por TIPO_CONTRACTUAL.
suma_tramo_edad_2025,124,124,OK,Suma de personas por TRAMO_EDAD.
porcentaje_tramo_edad_2025,100,100,OK,Suma porcentual por TRAMO_EDAD.
suma_tramo_horas_2025,124,124,OK,Suma de personas por TRAMO_HORAS.
porcentaje_tramo_horas_2025,100,100,OK,Suma porcentual por TRAMO_HORAS.
suma_programa_2025,124,124,OK,Suma de personas por PROGRAMA.
porcentaje_programa_2025,100,100,OK,Suma porcentual por PROGRAMA.
suma_genero_2025,124,124,OK,Hombres + mujeres + sin información = universo.
horas_componentes_2025,2885.67,2885.67,OK,Horas totales igualan suma de componentes.
suma_formacion_2026,202,202,OK,Suma de personas por FORMACION.
porcentaje_formacion_2026,100,100,OK,Suma porcentual por FORMACION.
suma_cargo_2026,202,202,OK,Suma de personas por CARGO.
porcentaje_cargo_2026,100,100,OK,Suma porcentual por CARGO.
suma_tipo_contractual_2026,202,202,OK,Suma de personas por TIPO_CONTRACTUAL.
porcentaje_tipo_contractual_2026,100,100,OK,Suma porcentual por TIPO_CONTRACTUAL.
suma_tramo_edad_2026,202,202,OK,Suma de personas por TRAMO_EDAD.
porcentaje_tramo_edad_2026,100,100,OK,Suma porcentual por TRAMO_EDAD.
suma_tramo_horas_2026,202,202,OK,Suma de personas por TRAMO_HORAS.
porcentaje_tramo_horas_2026,100,100,OK,Suma porcentual por TRAMO_HORAS.
suma_programa_2026,202,202,OK,Suma de personas por PROGRAMA.
porcentaje_programa_2026,100,100,OK,Suma porcentual por PROGRAMA.
suma_genero_2026,202,202,OK,Hombres + mujeres + sin información = universo.
horas_componentes_2026,3538.58,3538.58,OK,Horas totales igualan suma de componentes.
kpi_maestro_poblado,mayor que 0,200,OK,02_KPI_MAESTRO contiene indicadores calculados.
kpi_maestro_sin_duplicados,200,200,OK,Clave CODIGO_KPI + ANIO_PERIODO sin duplicados.
diccionario_completo,41,41,OK,Todo KPI del maestro tiene definición.
diccionario_sin_sobrantes,41,41,OK,El diccionario sólo contiene KPI del maestro.
semaforos_textuales,VERDE/AMARILLO/ROJO/GRIS,AMARILLO; GRIS; ROJO; VERDE,OK,Semáforos restringidos a estados textuales permitidos.
descripciones_dinamicas,0,0,OK,Todos los KPI del maestro tienen descripción generada por Python.
formulas_excel_total,0,0,OK,El workbook no contiene fórmulas Excel.
nan_inf_total,0,0,OK,No hay valores NaN o infinitos.
pii_hojas_analiticas,0,0,OK,Hojas analíticas no contienen columnas de identificación individual.
parametros_documentados,mayor que 0,15,OK,91_PARAMETROS documenta reglas y umbrales usados.
calculos_auxiliares,mayor que 0,369,OK,92_CALCULOS contiene resultados auxiliares calculados en Python.
portada,poblada,SISTEMA INTEGRADO DE INDICADORES DE PERSONAL ACADÉMICO,OK,Portada institucional generada.
dashboard_ejecutivo,poblado,Resumen ejecutivo SIIPA v4.0,OK,Resumen ejecutivo con tarjetas y síntesis.
graficos_total,10,10,OK,Gráficos ubicados en 01_RESUMEN_EJECUTIVO.
graficos_series,series no vacías,True,OK,Cada gráfico contiene al menos una serie.
graficos_categorias,categorías no vacías,True,OK,Cada gráfico contiene categorías.
graficos_sin_ref,0,0,OK,Rangos de gráficos sin referencias rotas.
parametros_ocultos,hidden,hidden,OK,"91_PARAMETROS oculta, no veryHidden."
calculos_ocultos,hidden,hidden,OK,"92_CALCULOS oculta, no veryHidden."
validaciones_visibles,visible,visible,OK,93_VALIDACIONES visible para revisión técnica.
enlaces_externos,0,0,OK,No existen vínculos externos en el workbook.
rutas_cloud_operativas,0,0,OK,No existen rutas cloud operativas en hojas públicas o analíticas.
texto_centrado_muestra,center,center,OK,Encabezados y celdas analíticas centradas.
decimales_muestra,0.0,0.0,OK,Valores numéricos persistidos con formato decimal según tipo.
