CAMPO_MANUAL,CAMPO_NORMALIZADO,SECCION_MANUAL,DESCRIPCION_MANUAL,TIPO_CAMPO_MANUAL,OBLIGATORIEDAD_MANUAL,OBSERVACION,FUENTE_ARCHIVO,ESTADO_FUENTE
"Área, Subárea, Carrera genérica",AREA_SUBAREA_CARRERA_GENERICA,Nuevos Programas,"a 5: Investigación Variable Definición Corresponde al número de personas por área del N° de investigadores jornada completa conocimiento que realizan labores de investigación, por área del conocimiento dedicando un mínimo de 33 horas semanales a dichas funciones. Corresponde al número de personas por área del N° de investigadores media jornada por conocimiento que realizan labores de investigación, área por área del conocimiento dedicando entre 20 y 32 hora",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Título,TITULO,Nuevos Programas,"acional de Educación Marchant Pereira 844, Providencia, Santiago, Chile. Tel: [56 2] 2341 3412 - [56 2] 2341 3413 10 --- Página 11 --- Manual de Sistema INDICES – abril/2025 • Sin título profesional ni grado académico Para efectos de INDICES, el tipo de jornada se clasifica de acuerdo con las horas semanales según los siguientes criterios: • Jornada Completa: 33 horas o más a la semana para docencia y/o investigación. • Media jornada: entre 2",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Grado académico,GRADO_ACADEMICO,Nuevos Programas,"archant Pereira 844, Providencia, Santiago, Chile. Tel: [56 2] 2341 3412 - [56 2] 2341 3413 10 --- Página 11 --- Manual de Sistema INDICES – abril/2025 • Sin título profesional ni grado académico Para efectos de INDICES, el tipo de jornada se clasifica de acuerdo con las horas semanales según los siguientes criterios: • Jornada Completa: 33 horas o más a la semana para docencia y/o investigación. • Media jornada: entre 20 y 32 horas a la semana para d",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Dependencia,DEPENDENCIA,Nuevos Programas,................................ 8 7. SECCIÓN: CAMPUS ............................................................................................................... 9 8. SECCIÓN: DEPENDENCIAS ................................................................................................ 9 9. SECCIÓN: DOCENTES ........................................................................................................ 10 10. SECCIÓN: ORIGEN ESTUDIANTE,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Tipo Régimen,TIPO_REGIMEN,Nuevos Programas,"de quien Texto. direcciones, unidades depende la e institutos. administración de la carrera. Los posibles valores Clasificación del de la variable son: programa según su a) Anual Tipo Régimen Texto. planificación en el b) Semestral tiempo. c) Mixto d) Trimestral En el caso en que la Duración en carrera o programa semestres del tenga una Duración programa conforme al organización anual, N° Entero Positivo. respectivo plan de deberá considerarse est",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Duración,DURACION,Nuevos Programas,"hile. Tel: [56 2] 2341 3412 - [56 2] 2341 3413 21 --- Página 22 --- Manual de Sistema INDICES – abril/2025 Variable Definición Formato suscripciones contabilizadas deben tener una duración mínima de un año. Por ejemplo: Annual Review of Biomedical Engineering, Vol. 19., Annual Review of Biomedical Engineering, Vol. 21. Trabajos de Corresponde al N° total de N° Entero Positivo. titulación/graduación trabajos de titulación disponibles disponibles",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Formas de ingreso,FORMAS_DE_INGRESO,Nuevos Programas,"s propios de la carrera, sin tener que cursar previamente un plan común, ciclo básico o bachillerato. b) “Ingreso a través de un plan común” los Forma en que los estudiantes deben Formas de ingreso estudiantes pueden Ticket y Texto. cursar un conjunto de ingresar al programa cursos que forman parte del plan de estudios de la carrera, antes de decidir por la línea de especialidad que seguirá y que conduce a un título diferenciado. c) “Ingreso mediante un",Ticket y Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Valor de la Matrícula,VALOR_DE_LA_MATRICULA,Evolución Programas,"ta y que no tienen matriculas total. Valor en pesos que se cobra a los estudiantes de primer año matriculados en el programa por Se debe cumplir: concepto de matrícula Valor de la Valor de la Matrícula o arancel básico. Si la N° Entero Positivo. Matrícula<= Valor matrícula es arancel anual semestral o por cuotas, debe sumar todos los pagos parciales exigidos durante el año. Valor en pesos del arancel anual que el estudiante de primer Se debe cumplir: año de",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Valor arancel anual,VALOR_ARANCEL_ANUAL,Evolución Programas,"cuotas, debe sumar todos los pagos parciales exigidos durante el año. Valor en pesos del arancel anual que el estudiante de primer Se debe cumplir: año debe pagar a la Valor de la Valor arancel anual N° Entero Positivo. institución a propósito Matrícula<= Valor de la suscripción de arancel anual un contrato de prestación de 2 Se considera PDT en el año 2021 y PSU para años anteriores. Departamento Gestión de la Calidad Consejo Nacional de Educación Marcha",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Valor titulación,VALOR_TITULACION,Evolución Programas,"les para este programa (excluida la matrícula). Monto en pesos que deben pagar los estudiantes para el desarrollo del proceso de titulación o graduación, una vez que se encuentran Valor titulación egresados. Incluye el N° entero positivo. desarrollo y presentación del trabajo final del programa o la rendición de un examen de título o graduación. Tipo de moneda usado en valor de 1. UF Tipo Moneda Texto. matrícula, arancel y 2. Pesos titulación Correspon",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Tipo Moneda,TIPO_MONEDA,Evolución Programas,"Incluye el N° entero positivo. desarrollo y presentación del trabajo final del programa o la rendición de un examen de título o graduación. Tipo de moneda usado en valor de 1. UF Tipo Moneda Texto. matrícula, arancel y 2. Pesos titulación Corresponde al N° total de vacantes Vacantes Primer ofrecidas en el primer N° Entero Positivo. Semestre semestre para primer año. Corresponde al N° total de vacantes Vacantes Segundo ofrecidas en el N° Entero Po",Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Vacantes Primer Semestre,VACANTES_PRIMER_SEMESTRE,Evolución Programas,"Tokens del campo aparecen en el manual, pero no como etiqueta exacta: Vacantes Primer Semestre",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION
Vacantes Segundo Semestre,VACANTES_SEGUNDO_SEMESTRE,Evolución Programas,"Tokens del campo aparecen en el manual, pero no como etiqueta exacta: Vacantes Segundo Semestre",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION
Código único,CODIGO_UNICO,Estructura interna / CSV,"Tokens del campo aparecen en el manual, pero no como etiqueta exacta: Código único",Código,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION
Código de carrera,CODIGO_DE_CARRERA,CSV Evolución Carreras,"No Sede en la que se positivo. dicta el programa Año que comenzó AnioInicioActivid con actividades N° entero B No ades académicas el positivo. programa Código CNED, es N° entero C Codcarr No único. positivo. Nombre con que fue registrado el D Nombre No Texto. programa en el sistema INDICES. Tipo de Carrera que fue ingresado E TipoCarrera No Texto. en el sistema INDICES Nombre de la sede F NombreSede No donde se dicta el Texto. programa. Nombre",N° entero positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Sede,SEDE,CSV Evolución Carreras,....................................... 5 5. SECCIÓN: INVESTIGACIÓN ................................................................................................. 7 6. SECCIÓN: SEDE ..................................................................................................................... 8 7. SECCIÓN: CAMPUS ............................................................................................................... 9 8. SEC,Texto/Código,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Jornada,JORNADA,CSV Evolución Carreras,"n esta sección corresponde al primer semestre del proceso en curso1. Tabla 5: Investigación Variable Definición Corresponde al número de personas por área del N° de investigadores jornada completa conocimiento que realizan labores de investigación, por área del conocimiento dedicando un mínimo de 33 horas semanales a dichas funciones. Corresponde al número de personas por área del N° de investigadores media jornada por conocimiento que realiza",Texto/Código,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Versión,VERSION,Estructura interna,"Nacional de Educación Marchant Pereira 844, Providencia, Santiago, Chile. Tel: [56 2] 2341 3412 - [56 2] 2341 3413 23 --- Página 24 --- Manual de Sistema INDICES – abril/2025 f. Inversión Tabla 19: Inversión Variable Definición Formato Inversión anual destinado a Corresponde a la participación Porcentaje. recursos de aprendizaje presupuestaria realizada por Está distribuido de la biblioteca. Considere el gasto siguiente forma, en recursos para",Código,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Vigencia,VIGENCIA,Nuevos/Evolución Programas,on: a) “Funciona Normalmente” para las carreras con estudiantes nuevos y antiguos. b) “No recibe nuevos Clasificación del estudiantes” para las programa según la carreras que sólo Estado del programa situación de Texto. tienen estudiantes funcionamiento en antiguos. que se encuentra. c) “Nuevas” para las carreras que sólo tienen estudiantes nuevos. d) “Inactiva” para las carreras que no son oferta y que no tienen matriculas total. Valor en pesos que se co,Texto/Código,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Duración régimen,DURACION_REGIMEN,Estructura interna,"Tokens del campo aparecen en el manual, pero no como etiqueta exacta: Duración régimen",N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,POSIBLE_EQUIVALENCIA_REQUIERE_VALIDACION
Requisito ingreso,REQUISITO_INGRESO,Nuevos Programas,"s propios de la carrera, sin tener que cursar previamente un plan común, ciclo básico o bachillerato. b) “Ingreso a través de un plan común” los Forma en que los estudiantes deben Formas de ingreso estudiantes pueden Ticket y Texto. cursar un conjunto de ingresar al programa cursos que forman parte del plan de estudios de la carrera, antes de decidir por la línea de especialidad que seguirá y que conduce a un título diferenciado. c) “Ingreso mediante un",Código/Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Semestres reconocidos,SEMESTRES_RECONOCIDOS,Estructura interna,No se encontró etiqueta ni equivalencia explícita en las fuentes normativas locales revisadas.,N° Entero Positivo,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,NO_CONFIRMADO_EN_MANUAL
Acreditación,ACREDITACION,Estructura interna,No se encontró etiqueta ni equivalencia explícita en las fuentes normativas locales revisadas.,Código/Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,NO_CONFIRMADO_EN_MANUAL
Área actual,AREA_ACTUAL,Nuevos Programas,"a 5: Investigación Variable Definición Corresponde al número de personas por área del N° de investigadores jornada completa conocimiento que realizan labores de investigación, por área del conocimiento dedicando un mínimo de 33 horas semanales a dichas funciones. Corresponde al número de personas por área del N° de investigadores media jornada por conocimiento que realizan labores de investigación, área por área del conocimiento dedicando entre 20 y 32 hora",Código/Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Malla Curricular,MALLA_CURRICULAR,Malla Curricular,"S – Versión 04/2015 21. MALLA CURIICULAR: VARIABLES SOLICITADAS Y DEFINICIONES En esta sección se presentan las definiciones asociadas a las variables solicitadas en el proceso de Malla Curricular. Las definiciones que se presentan se encuentran relación con los procesos INDICES como también con otros procesos de reporte de datos en Educación Superior. De igual forma, estas definiciones tienen, en algunos casos, un sentido general, lo que permite abord",Archivo/Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,CONFIRMADO_EN_MANUAL
Perfil de Egreso,PERFIL_DE_EGRESO,No confirmado como tabla de Nuevos Programas,No se encontró etiqueta ni equivalencia explícita en las fuentes normativas locales revisadas.,Texto,NO_DETERMINADA_EN_EXTRACCION,Campo de lista objetivo Hito 7 BIS; obligatoriedad no se asume si el manual no la explicita.,indices_2025/docs/Manual_INDICES_2025 2.txt,NO_CONFIRMADO_EN_MANUAL
