Columna	Campo	Estado	Fase dueña	Bloqueo actual	Acción necesaria	Criterio para pasar a OK	Evidencia actual	Última revisión
K	COD_SED	OK	FASE 2	Sin bloqueo operativo	Mantener parseo desde `CODIGO_CARRERA_SIES_FINAL`, QA de consistencia y cola auditable de excluidos	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_cod_sed.tsv + control/evidencias/K_cod_sed.md + control/reportes/reporte_sies_oferta_mu_2026.json + control/reportes/sies_pendientes.tsv	2026-04-01
L	COD_CAR	OK	FASE 2	Sin bloqueo operativo	Mantener parseo desde `CODIGO_CARRERA_SIES_FINAL`, QA de consistencia y cola auditable de excluidos	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_cod_car.tsv + control/evidencias/L_cod_car.md + control/reportes/reporte_sies_oferta_mu_2026.json + control/reportes/sies_pendientes.tsv	2026-04-01
M	MODALIDAD	OK	FASE 2	Sin bloqueo operativo	Mantener lookup desde oferta academica y QA de coherencia con `JOR`	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_modalidad.tsv + control/evidencias/M_modalidad.md + control/reportes/reporte_sies_oferta_mu_2026.json + control/reportes/sies_pendientes.tsv	2026-04-01
N	JOR	OK	FASE 2	Sin bloqueo operativo	Mantener lookup desde oferta academica y QA de coherencia con SIES/oferta	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_jor.tsv + control/evidencias/N_jor.md + control/reportes/reporte_sies_oferta_mu_2026.json + control/reportes/sies_pendientes.tsv	2026-04-01
O	VERSION	OK	FASE 2	Sin bloqueo operativo	Mantener parseo desde `CODIGO_CARRERA_SIES_FINAL`, QA de consistencia y cola auditable de excluidos	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_version.tsv + control/evidencias/O_version.md + control/reportes/reporte_sies_oferta_mu_2026.json + control/reportes/sies_pendientes.tsv	2026-04-01
P	FOR_ING_ACT	OK	FASE 0	Sin bloqueo operativo	Mantener catálogo `1..11`, trazabilidad por fila y ausencia de imputados/revisión en filas incluidas	Se mantiene con distribución consistente stage/CSV y validación oficial del catálogo `1..11`	gobernanza_columnas_mu/gob_mu_for_ing_act.tsv + control/evidencias/P_for_ing_act.md + resultados/reporte_for_ing_act.json + control/gate/gate_final_mu_2026.md	2026-04-19
Q	ANIO_ING_ACT	OK	FASE 3	Sin bloqueo operativo	Mantener trazabilidad desde `DA_ANOINGRESO` y QA cronologica por fila incluida	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_anio_ing_act.tsv + control/evidencias/Q_anio_ing_act.md + control/reportes/reporte_cronologia_mu_2026.json	2026-04-01
R	SEM_ING_ACT	OK	FASE 3	Sin bloqueo operativo	Mantener trazabilidad desde `DA_PERIODOINGRESO`, normalizacion visible `3 -> 2` y QA de catalogo	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_sem_ing_act.tsv + control/evidencias/R_sem_ing_act.md + control/reportes/reporte_cronologia_mu_2026.json	2026-04-01
S	ANIO_ING_ORI	OK	FASE 3	Sin bloqueo operativo	Mantener regla explicita: `FOR=1 => origen=actual`; continuidad/cambio => origen trazado o `1900`; otros códigos preservados con traza	Se mantiene 5/5 SI con fuente final explícita por fila incluida y control de continuidad/origen	gobernanza_columnas_mu/gob_mu_anio_ing_ori.tsv + control/evidencias/S_anio_ing_ori.md + control/reportes/reporte_cronologia_mu_2026.json	2026-04-19
T	SEM_ING_ORI	OK	FASE 3	Sin bloqueo operativo	Mantener regla explicita: `FOR=1 => origen=actual`; continuidad/cambio => semestre trazado o `0` si `ANIO_ING_ORI=1900`; otros códigos preservados con traza	Se mantiene 5/5 SI con fuente final explícita por fila incluida y control de continuidad/origen	gobernanza_columnas_mu/gob_mu_sem_ing_ori.tsv + control/evidencias/T_sem_ing_ori.md + control/reportes/reporte_cronologia_mu_2026.json	2026-04-19
U	ASI_INS_ANT	OK	FASE 4	Sin bloqueo operativo	Mantener ventana anual de referencia, llave `RUT_NORM + CODCARPR_NORM` y QA de conteo trazable por fila	Se mantiene 5/5 SI con formula explicita, ventana visible y evidencia vigente	gobernanza_columnas_mu/gob_mu_asi_ins_ant.tsv + control/evidencias/U_asi_ins_ant.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
V	ASI_APR_ANT	OK	FASE 4	Sin bloqueo operativo	Mantener regla explicita de aprobacion anual excluyendo convalidadas/homologadas y QA `APR <= INS`	Se mantiene 5/5 SI con regla explicita, caps visibles y evidencia vigente	gobernanza_columnas_mu/gob_mu_asi_apr_ant.tsv + control/evidencias/V_asi_apr_ant.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
W	PROM_PRI_SEM	OK	FASE 4	Sin bloqueo residual.	Ninguna.	Ya resuelto en FASE 5.	gobernanza_columnas_mu/gob_mu_prom_pri_sem.tsv + control/evidencias/W_prom_pri_sem.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
X	PROM_SEG_SEM	OK	FASE 4	Sin bloqueo residual.	Ninguna.	Ya resuelto en FASE 5.	gobernanza_columnas_mu/gob_mu_prom_seg_sem.tsv + control/evidencias/X_prom_seg_sem.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
Y	ASI_INS_HIS	Pendiente	FASE 4	Cobertura historica no plenamente alineada al manual: 2351 filas incluidas quedaron con `ALCANCE_LIMITADO_ANIO_UNICO`, pero `Y ASI_INS_HIS` exige acumulado desde el inicio de la carrera.	Incorporar fuente historica multianual o acto regulatorio explicito que permita usar alcance monoanual.	Cobertura historica multianual o validacion normativa explicita para el alcance disponible.	gobernanza_columnas_mu/gob_mu_asi_ins_his.tsv + control/evidencias/Y_asi_ins_his.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
Z	ASI_APR_HIS	Pendiente	FASE 4	Cobertura historica no plenamente alineada al manual: 2351 filas incluidas quedaron con `ALCANCE_LIMITADO_ANIO_UNICO`, pero `Z ASI_APR_HIS` exige acumulado desde el inicio de la carrera.	Incorporar fuente historica multianual o acto regulatorio explicito que permita usar alcance monoanual.	Cobertura historica multianual o validacion normativa explicita para el alcance disponible.	gobernanza_columnas_mu/gob_mu_asi_apr_his.tsv + control/evidencias/Z_asi_apr_his.md + control/reportes/reporte_rendimiento_mu_2026.json + control/reportes/resumen_historico_mu_2026.csv	2026-04-01
AA	NIV_ACA	OK	FASE 3	Sin bloqueo operativo	Mantener fuente `INPUT_NIVEL`, acotacion visible por duracion/cohorte y QA de consistencia	Se mantiene 5/5 SI con fuente final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_niv_aca.tsv + control/evidencias/AA_niv_aca.md + control/reportes/reporte_niv_fecha_mu_2026.json + control/reportes/reporte_cronologia_mu_2026.json	2026-04-01
AB	SIT_FON_SOL	OK	FASE 5	Sin bloqueo residual.	Ninguna.	Ya resuelto en FASE 5.	gobernanza_columnas_mu/gob_mu_sit_fon_sol.tsv + control/evidencias/AB_sit_fon_sol.md + control/reportes/reporte_estado_admin_mu_2026.json	2026-04-01
AC	SUS_PRE	OK	FASE 5	Sin bloqueo residual.	Ninguna.	Ya resuelto en FASE 5.	gobernanza_columnas_mu/gob_mu_sus_pre.tsv + control/evidencias/AC_sus_pre.md + control/reportes/reporte_estado_admin_mu_2026.json	2026-04-01
AD	FECHA_MATRICULA	OK	FASE 3	Sin bloqueo operativo	Mantener politica explicita `01/01/1900` fuera de cohorte 2026 y trazabilidad `DA_FECHAMATRICULA` en cohorte 2026	Se mantiene 5/5 SI con fuente/regla final explicita por fila incluida	gobernanza_columnas_mu/gob_mu_fecha_matricula.tsv + control/evidencias/AD_fecha_matricula.md + control/reportes/reporte_niv_fecha_mu_2026.json + control/reportes/reporte_cronologia_mu_2026.json	2026-04-01
AE	REINCORPORACION	OK	FASE 5	Sin bloqueo residual.	Ninguna.	Ya resuelto en FASE 5.	gobernanza_columnas_mu/gob_mu_reincorporacion.tsv + control/evidencias/AE_reincorporacion.md + control/reportes/reporte_estado_admin_mu_2026.json	2026-04-01
AF	VIG	OK	FASE 5	Sin bloqueo operativo	Mantener la politica explicita de vigencia para la carga final y QA de consistencia por `DA_SITUACION`	Se mantiene 5/5 SI con regla explicita, trazabilidad por fila incluida y evidencia vigente	gobernanza_columnas_mu/gob_mu_vig.tsv + control/evidencias/AF_vig.md + control/reportes/reporte_estado_admin_mu_2026.json	2026-04-01
